Rk,Player,Nation,Pos,Squad,Age,Born,90s,Raw CrdY,Raw CrdR,Raw 2CrdY,Raw Fls,Raw Fld,Raw Off,Raw Crs,Raw Int,Raw TklW,Raw PKwon,Raw PKcon,Raw OG,Raw Recov,Duels Won,Duels Lost,Duels Won%,Matches
101,Valentin Carboni,ar ARG,"MF,FW",Marseille,20-014,2005,1.1,1,0,0,5,1,0,2,1,2,0,0,0,2,2,1,66.7,Matches
102,Irvin Cardona,fr FRA,FW,Saint-Étienne,27-223,1997,4.2,2,0,0,8,5,1,13,1,2,0,0,0,8,2,4,33.3,Matches
103,Patrik Carlgren,se SWE,GK,Nantes,33-070,1992,3.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
104,Josué Casimir,fr FRA,"FW,MF",Le Havre,23-176,2001,14.5,4,0,0,19,35,5,54,3,18,3,0,0,53,6,17,26.1,Matches
105,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,25-058,2000,22.1,8,0,0,45,31,0,43,30,54,0,0,0,128,15,16,48.4,Matches
106,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,30-052,1995,23.1,4,1,0,29,9,0,6,23,13,0,3,1,73,43,25,63.2,Matches
107,Fabien Centonze,fr FRA,DF,Nantes,29-062,1996,0.9,0,0,0,1,0,0,5,1,1,0,0,1,2,1,2,33.3,Matches
108,Brendan Chardonnet,fr FRA,DF,Brest,30-087,1994,21.8,3,0,0,29,14,0,3,24,26,0,0,0,78,52,31,62.7,Matches
109,Jhoanner Chávez,ec ECU,"DF,MF",Lens,22-328,2002,6.6,1,0,0,10,8,2,30,6,5,0,1,0,25,7,5,58.3,Matches
110,Théo Chennahi,fr FRA,"MF,DF",Montpellier,20-041,2005,0.1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,,Matches
111,Sidiki Cherif,fr FRA,FW,Angers,18-094,2006,3.6,0,0,0,4,8,5,4,0,5,0,0,0,10,3,16,15.8,Matches
112,Rayan Cherki,fr FRA,"FW,MF",Lyon,21-214,2003,15.6,2,0,0,13,27,1,88,6,9,0,0,0,62,3,7,30.0,Matches
113,Lucas Chevalier,fr FRA,GK,Lille,23-133,2001,26.0,0,0,0,0,4,0,0,0,2,0,0,0,57,4,0,100.0,Matches
114,Pedro Chirivella,es ESP,MF,Nantes,27-300,1997,20.8,5,0,0,20,13,0,16,15,23,0,0,0,83,8,13,38.1,Matches
115,Joris Chotard,fr FRA,MF,Montpellier,23-176,2001,15.3,5,0,0,11,7,1,21,14,20,0,1,0,70,15,8,65.2,Matches
116,Djaoui Cissé,fr FRA,MF,Rennes,21-047,2004,5.4,3,0,0,14,10,0,3,8,13,0,0,0,40,3,9,25.0,Matches
117,Yoann Cissé,fr FRA,MF,Auxerre,20-096,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
118,Jonathan Clauss,fr FRA,"DF,MF",Nice,32-175,1992,17.7,5,0,0,19,4,1,114,38,33,0,0,0,79,13,8,61.9,Matches
119,Marcus Coco,fr FRA,DF,Nantes,28-268,1996,10.1,3,1,0,27,17,0,28,9,20,0,0,0,41,17,13,56.7,Matches
120,Alois Confais,fr FRA,MF,Le Havre,28-193,1996,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,Matches
